meeting_id,race_id,race_date,track,race_time,race_class,race_distance,race_prizes,position,trap,dog_id,dog_name,trainer,comments,starting_price,time_s,time_distance,birth_date,weight,color,sire,dam,breeding_info,race_url
426921,1115765,Tuesday 18th March 2025,Sunderland,20:19,D4,261m,1st £105 | Others £50 Race Total £355,1st,1,607694,Sweet Soul Music,D Blackbird,"Rails,LedRunIn",2/1,-,16.46 (NK),Jan-2021,30.0,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 30.0 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=426921&raceId=1115765
426548,1114075,Tuesday 11th March 2025,Sunderland,20:19,D4,261m,1st £105 | Others £50 Race Total £355,4th,1,607694,Sweet Soul Music,D Blackbird,"Rls,LedToNrLn",7/4F,-,16.45 (NK),Jan-2021,30.2,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 30.2 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=426548&raceId=1114075
425995,1111481,Sunday 2nd March 2025,Sunderland,13:26,D4,261m,1st £105 | Others £50 Race Total £355,3rd,1,607694,Sweet Soul Music,D Blackbird,"Rails,LedTo2",7/4,-,16.34 (1/2),Jan-2021,30.3,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 30.3 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=425995&raceId=1111481
425687,1109872,Sunday 23rd February 2025,Sunderland,13:42,D3,261m,1st £105 | Others £50 Race Total £355,4th,1,607694,Sweet Soul Music,D Blackbird,"Rails,ClearRun,(HT)",5/1,-,16.23 (1),Jan-2021,30.1,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 30.1 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=425687&raceId=1109872
425212,1107894,Sunday 16th February 2025,Star Pelaw,20:16,OR,245m,1st £300 | Others £60 Race Total £540,5th,3,607694,Sweet Soul Music,D Blackbird,"Rails,ClearRun",25/1,-,15.32 (3 3/4),Jan-2021,30.1,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 30.1 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=425212&raceId=1107894
425013,1106725,Monday 10th February 2025,Sunderland,15:44,D4,261m,1st £105 | Others £50 Race Total £355,1st,1,607694,Sweet Soul Music,D Blackbird,"MidToRls,Led2",11/4,-,16.45 (SH),Jan-2021,30.1,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 30.1 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=425013&raceId=1106725
424578,1104593,Sunday 2nd February 2025,Sunderland,12:34,D3,261m,1st £105 | Others £50 Race Total £355,6th,1,607694,Sweet Soul Music,D Blackbird,"SAw,MidToRls",5/1,-,16.64 (2 1/4),Jan-2021,30.1,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 30.1 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=424578&raceId=1104593
424352,1103227,Monday 27th January 2025,Sunderland,17:18,D3,261m,1st £105 | Others £50 Race Total £355,2nd,1,607694,Sweet Soul Music,D Blackbird,"MidTRls,LedTo1",6/1,-,16.40 (2 1/4),Jan-2021,29.7,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 29.7 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=424352&raceId=1103227
423965,1101988,Wednesday 22nd January 2025,Sunderland,17:24,D4,261m,1st £105 | Others £50 Race Total £355,1st,1,607694,Sweet Soul Music,D Blackbird,"MidTRls,ALed",5/6F,-,16.36 (HD),Jan-2021,29.6,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 29.6 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=423965&raceId=1101988
423736,1100668,Friday 17th January 2025,Sunderland,21:48,D4,261m,1st £105 | Others £50 Race Total £355,2nd,1,607694,Sweet Soul Music,D Blackbird,"SAw,MidTRls,EveryChance",8/11F,-,16.43 (2),Jan-2021,29.4,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 29.4 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=423736&raceId=1100668
422975,1097567,Friday 3rd January 2025,Sunderland,22:04,D4,261m,1st £105 | Others £50 Race Total £355,4th,1,607694,Sweet Soul Music,D Blackbird,"Rails,ClearRun",11/10F,-,16.38 (HD),Jan-2021,29.7,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 29.7 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=422975&raceId=1097567
422644,1095584,Friday 27th December 2024,Sunderland,16:28,D3,261m,1st £155 | Others £60 Race Total £455,3rd,1,607694,Sweet Soul Music,D Blackbird,"Rails,Bumped1",11/4,-,16.26 (3/4),Jan-2021,29.0,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 29.0 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=422644&raceId=1095584
422454,1094490,Friday 20th December 2024,Sunderland,19:25,D4,261m,1st £105 | Others £50 Race Total £355,1st,1,607694,Sweet Soul Music,D Blackbird,"Rails,AlwaysLed",13/8JF,-,16.36 (2 1/4),Jan-2021,28.8,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 28.8 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=422454&raceId=1094490
422203,1093142,Sunday 15th December 2024,Sunderland,11:27,D3,261m,1st £105 | Others £50 Race Total £355,5th,1,607694,Sweet Soul Music,D Blackbird,"Rls,ClearRun",11/2,-,16.52 (3/4),Jan-2021,29.3,b - be,Droopys Gold,Westmead Lola,Jan-2021 | 29.3 | b - be | Droopys Gold - Westmead Lola,https://www.gbgb.org.uk/meeting/?meetingId=422203&raceId=1093142
